onset	duration	sample	type	value
0.953125	0	489	trigger	254
1.970703125	0	1010	trigger	111
395.01171875	0	202247	trigger	52
396.01171875	0	202759	trigger	12
396.892578125	0	203210	trigger	120
399.41015625	0	204499	trigger	57
400.41015625	0	205011	trigger	41
401.62890625	0	205635	trigger	120
403.626953125	0	206658	trigger	56
404.626953125	0	207170	trigger	28
405.64453125	0	207691	trigger	120
407.52734375	0	208655	trigger	58
408.52734375	0	209167	trigger	42
409.373046875	0	209600	trigger	120
410.89453125	0	210379	trigger	52
411.89453125	0	210891	trigger	12
412.8125	0	211361	trigger	120
414.677734375	0	212316	trigger	56
415.677734375	0	212828	trigger	36
416.66796875	0	213335	trigger	120
418.177734375	0	214108	trigger	52
419.177734375	0	214620	trigger	12
420.861328125	0	215482	trigger	120
422.861328125	0	216506	trigger	53
423.861328125	0	217018	trigger	13
425.1015625	0	217653	trigger	120
426.64453125	0	218443	trigger	58
427.64453125	0	218955	trigger	34
428.78125	0	219537	trigger	120
430.177734375	0	220252	trigger	54
431.177734375	0	220764	trigger	22
432.28515625	0	221331	trigger	120
433.7265625	0	222069	trigger	58
434.7265625	0	222581	trigger	30
435.740234375	0	223100	trigger	120
437.41015625	0	223955	trigger	57
438.41015625	0	224467	trigger	29
439.484375	0	225017	trigger	120
440.943359375	0	225764	trigger	52
441.943359375	0	226276	trigger	12
443.484375	0	227065	trigger	120
445.02734375	0	227855	trigger	51
446.02734375	0	228367	trigger	11
447.513671875	0	229128	trigger	120
448.91015625	0	229843	trigger	58
449.91015625	0	230355	trigger	30
450.908203125	0	230866	trigger	120
452.34375	0	231601	trigger	51
453.34375	0	232113	trigger	19
454.203125	0	232553	trigger	120
455.59375	0	233265	trigger	55
456.59375	0	233777	trigger	27
457.259765625	0	234118	trigger	120
458.609375	0	234809	trigger	58
459.609375	0	235321	trigger	34
460.619140625	0	235838	trigger	120
461.994140625	0	236542	trigger	57
462.994140625	0	237054	trigger	41
464.923828125	0	238042	trigger	120
466.2109375	0	238701	trigger	53
467.2109375	0	239213	trigger	21
468.12109375	0	239679	trigger	120
469.41015625	0	240339	trigger	57
470.41015625	0	240851	trigger	29
471.2734375	0	241293	trigger	120
473.443359375	0	242404	trigger	51
474.443359375	0	242916	trigger	19
475.162109375	0	243284	trigger	120
476.376953125	0	243906	trigger	51
477.376953125	0	244418	trigger	19
478.71484375	0	245103	trigger	120
480.17578125	0	245851	trigger	58
481.17578125	0	246363	trigger	38
482.216796875	0	246896	trigger	120
483.54296875	0	247575	trigger	57
484.54296875	0	248087	trigger	33
485.38671875	0	248519	trigger	120
486.66015625	0	249171	trigger	56
487.66015625	0	249683	trigger	36
488.73046875	0	250231	trigger	120
489.958984375	0	250860	trigger	55
490.958984375	0	251372	trigger	35
491.880859375	0	251844	trigger	120
493.142578125	0	252490	trigger	56
494.142578125	0	253002	trigger	36
495.751953125	0	253826	trigger	121
497.193359375	0	254564	trigger	52
498.193359375	0	255076	trigger	12
499.2890625	0	255637	trigger	120
500.4921875	0	256253	trigger	57
501.4921875	0	256765	trigger	41
502.294921875	0	257176	trigger	120
503.560546875	0	257824	trigger	53
504.560546875	0	258336	trigger	13
505.896484375	0	259020	trigger	120
507.34375	0	259761	trigger	54
508.34375	0	260273	trigger	22
509.12890625	0	260675	trigger	120
510.392578125	0	261322	trigger	51
511.392578125	0	261834	trigger	19
513.111328125	0	262714	trigger	120
514.41015625	0	263379	trigger	53
515.41015625	0	263891	trigger	21
516.439453125	0	264418	trigger	120
517.693359375	0	265060	trigger	53
518.693359375	0	265572	trigger	13
519.224609375	0	265844	trigger	120
520.92578125	0	266715	trigger	53
521.92578125	0	267227	trigger	13
523.111328125	0	267834	trigger	120
524.2421875	0	268413	trigger	58
525.2421875	0	268925	trigger	38
526.0390625	0	269333	trigger	120
527.29296875	0	269975	trigger	51
528.29296875	0	270487	trigger	19
529.064453125	0	270882	trigger	120
530.275390625	0	271502	trigger	52
531.275390625	0	272014	trigger	20
532.134765625	0	272454	trigger	120
533.376953125	0	273090	trigger	55
534.376953125	0	273602	trigger	27
535.16015625	0	274003	trigger	120
536.443359375	0	274660	trigger	53
537.443359375	0	275172	trigger	17
538.4375	0	275681	trigger	120
539.591796875	0	276272	trigger	56
540.591796875	0	276784	trigger	36
541.62109375	0	277311	trigger	120
542.79296875	0	277911	trigger	58
543.79296875	0	278423	trigger	34
544.56640625	0	278819	trigger	120
545.841796875	0	279472	trigger	53
546.841796875	0	279984	trigger	25
548.23046875	0	280695	trigger	120
549.408203125	0	281298	trigger	51
550.408203125	0	281810	trigger	19
551.26953125	0	282251	trigger	120
552.55859375	0	282911	trigger	54
553.55859375	0	283423	trigger	22
555.078125	0	284201	trigger	121
556.30859375	0	284831	trigger	56
557.30859375	0	285343	trigger	28
558.61328125	0	286011	trigger	120
559.775390625	0	286606	trigger	51
560.775390625	0	287118	trigger	11
562.26171875	0	287879	trigger	120
570.69140625	0	292195	trigger	58
571.69140625	0	292707	trigger	42
572.55078125	0	293147	trigger	120
573.80859375	0	293791	trigger	54
574.80859375	0	294303	trigger	18
575.828125	0	294825	trigger	120
576.94140625	0	295395	trigger	52
577.94140625	0	295907	trigger	20
579.31640625	0	296611	trigger	120
580.458984375	0	297196	trigger	57
581.458984375	0	297708	trigger	37
582.37109375	0	298175	trigger	120
583.54296875	0	298775	trigger	51
584.54296875	0	299287	trigger	11
585.267578125	0	299658	trigger	120
586.42578125	0	300251	trigger	56
587.42578125	0	300763	trigger	36
588.35546875	0	301239	trigger	120
589.625	0	301889	trigger	55
590.625	0	302401	trigger	27
591.748046875	0	302976	trigger	120
592.826171875	0	303528	trigger	58
593.826171875	0	304040	trigger	30
594.64453125	0	304459	trigger	120
595.80859375	0	305055	trigger	51
596.80859375	0	305567	trigger	19
597.572265625	0	305958	trigger	120
598.859375	0	306617	trigger	57
599.859375	0	307129	trigger	41
600.916015625	0	307670	trigger	120
602.05859375	0	308255	trigger	55
603.05859375	0	308767	trigger	27
604.115234375	0	309308	trigger	120
605.291015625	0	309910	trigger	52
606.291015625	0	310422	trigger	12
607.138671875	0	310856	trigger	120
608.2421875	0	311421	trigger	54
609.2421875	0	311933	trigger	22
610.1796875	0	312413	trigger	120
611.359375	0	313017	trigger	52
612.359375	0	313529	trigger	20
613.220703125	0	313970	trigger	120
614.392578125	0	314570	trigger	55
615.392578125	0	315082	trigger	35
616.35546875	0	315575	trigger	120
617.5078125	0	316165	trigger	55
618.5078125	0	316677	trigger	27
619.412109375	0	317140	trigger	120
620.525390625	0	317710	trigger	51
621.525390625	0	318222	trigger	11
622.9296875	0	318941	trigger	120
623.974609375	0	319476	trigger	51
624.974609375	0	319988	trigger	11
